"","macrophage","Microglia","CD8-positive, alpha-beta T cell","T cell","Astrocytes","brain pericyte","Endothelial","ependymal cell","mature NK T cell","neuroepithelial cell","neuron","neuronal stem cell","Oligodendrocytes","Oligodendrocytes precursor cell","Condition"
"Sample06",0,0.702408630422874,0,0,0,0,0,0,0,0.0851312276564941,0,0,0.212460141920631,0,"Treatment"
"Sample07",0,0.531166094543213,0,0,0.0384329435691941,0,0.143138388081788,0,0,0.0811909396382339,0,0,0.20607163416757,0,"Treatment"
"Sample08",0,0.647698486210045,0,0,0.00288961679888113,0.000922624672825639,0.0593735141586306,0,0,0.0796119889265572,0,0.00913405043530992,0.200369718797749,0,"Treatment"
"Sample09",0,0.950481573789371,0,0,0.0412922628850355,0,0,0,0,0.00822616332559247,0,0,0,0,"Treatment"
"Sample10",0,0.408781355356343,0,0.0417038587729852,0.0282477268541755,0.0139079237054342,0.0835890234067667,0,0,0.0636404773869669,0,0.0502271785254386,0.26797809970923,0.0419243562826597,"Treatment"
"Sample11",0,0.424574506502872,0.0398337038104461,0,0.020329892905678,0.104525772982042,0.082843016264601,0,0.000415154170568359,0.0185761420356742,0.0602238680480385,0.0364077133737456,0.133733224310118,0.0785370055962148,"Treatment"
"Sample12",0.00381041414502036,0.597401053754712,1.81673607141386e-05,0,0.0558784368524493,0.0580433994923469,0.0657894587886112,2.85576324348877e-05,0.0660072147452389,0.0284013806478993,0.01359961244994,0,0.0562069714258794,0.0548153327047527,"Treatment"
"Sample13",0.00486928472654137,0.377363158019218,0.093652068562435,0,0,0.10107550943332,0,0.00889996843663642,0.112379882304476,0,0,0,0,0.301760128517372,"Control"
"Sample14",0,0.91054279690408,0,0,0,0,0,0,0,0.0413022821487924,0,0,0.0481549209471268,0,"Control"
"Sample15",0.00990727088921698,0.42619454492322,0.0603623723228867,0,0,0.0359610682674628,0.111658245824044,0.0204278616705083,0.0108133014230862,0,0.0313429365550058,0,0.0786845792201916,0.214647818904377,"Control"
"Sample16",0.0108895106719012,0.35301525540865,0.0334358357312141,0,0.0066680767493225,0.0415504235259488,0.1550877151532,0.00523239772103128,0.00710329723406475,0.00511095896872205,0.0771530950039278,0.0359446189878936,0.0938512489340302,0.174957565910093,"Control"
"Sample17",0.00580047007303306,0.570339688726117,0.0282000038355202,0,0.076242042278563,0.0184396879949414,0.116450083447917,0.0119037304961106,0,0,0.0614733297886732,0.0232766262314302,0.0315330158614025,0.0563413212662913,"Control"
"Sample18",0,0.790773117645793,0,0,0.041306530451203,0,0.0555450164246032,0,0,0.037740858770844,0,0,0.0746344767075564,0,"Control"
"Sample20",0,0.384904198362657,0.0173660212225042,0,0,0.0710141886671076,0.172253294647335,0.0226269572348561,0.0892996128212108,0,0,0,0,0.242535727044327,"Control"
"Sample63",0,0.306626798475831,0.0936213306687214,0,0,0.0740986396585187,0.0961807217341337,0.037128419222285,0.0598027229041581,0,0,0,0,0.332541367336351,"Control"
